Ticker,Close_Price
PTPS.JK,88.0
BREN.JK,6200.0
STRK.JK,65.0
KOKA.JK,80.0
LOPI.JK,40.0
UDNG.JK,
RGAS.JK,111.0
MSTI.JK,1435.0
IKPM.JK,238.0
AYAM.JK,148.0
SURI.JK,58.0
ASLI.JK,50.0
CGAS.JK,95.0
NICE.JK,298.0
MSJA.JK,306.0
SMLE.JK,121.0
ACRO.JK,64.0
MANG.JK,35.0
GRPH.JK,50.0
SMGA.JK,69.0
UNTD.JK,87.0
TOSK.JK,50.0
MPIX.JK,65.0
ALII.JK,525.0
MKAP.JK,260.0
MEJA.JK,
LIVE.JK,152.0
HYGN.JK,133.0
BAIK.JK,67.0
VISI.JK,142.0
AREA.JK,575.0
MHKI.JK,115.0
ATLA.JK,50.0
DATA.JK,1370.0
SOLA.JK,113.0
BATR.JK,72.0
SPRE.JK,218.0
PART.JK,94.0
GOLF.JK,242.0
ISEA.JK,73.0
BLES.JK,187.0
GUNA.JK,326.0
LABS.JK,124.0
DOSS.JK,166.0
NEST.JK,310.0
PTMR.JK,143.0
VERN.JK,107.0
DAAZ.JK,4250.0
BOAT.JK,115.0
NAIK.JK,306.0
AADI.JK,7300.0
MDIY.JK,1640.0
KSIX.JK,190.0
RATU.JK,6300.0
YOII.JK,96.0
HGII.JK,178.0
BRRC.JK,54.0
DGWG.JK,434.0
CBDK.JK,6925.0
OBAT.JK,486.0
MINE.JK,520.0
KAQI.JK,50.0
YUPI.JK,1860.0
FORE.JK,368.0
MDLA.JK,218.0
DKHH.JK,111.0
SOSS.JK,428.0
DEAL.JK,
POLA.JK,16.0
DIVA.JK,103.0
LUCK.JK,73.0
URBN.JK,121.0
SOTS.JK,296.0
AMAN.JK,119.0
CARE.JK,230.0
SAMF.JK,332.0
SBAT.JK,
KBAG.JK,33.0
CBMF.JK,
RONY.JK,
RAFI.JK,27.0
KKES.JK,24.0
ELPI.JK,356.0
EURO.JK,170.0
KLIN.JK,168.0
TOOL.JK,51.0
